FullName;Username;Password;Email;Phone
Mikkel Severinsen;mikkel;1;mikkel.severinsen@mail.dk;28994532
Anna Holm;annah;1;anna.holm@mail.dk;42119984
Jonas Muller;jonas98;1;jonas.muller@mail.dk;60123489
Sofie Nielsen;sofien;1;sofie.nielsen@mail.dk;28763145
Thomas Kristensen;tkristen;1;thomas.kristensen@mail.dk;50334412
Emma Jensen;emma_j;1;emma.jensen@mail.dk;21994356
Andreas Larsen;andyl;1;andreas.larsen@mail.dk;33219874
Katrine Estragon;katrine_e;1;katrine.estragon@mail.dk;42881192
Rasmus Bendtsen;rasb;1;rasmus.bendtsen@mail.dk;52334489
Marie Hansen;marieh;1;marie.hansen@mail.dk;31228744
Oliver Madsen;oliverm;1;oliver.madsen@mail.dk;40229911
Laura Birk;laurab;1;laura.birk@mail.dk;51278344
Nikolaj Svendsen;nikolajs;1;nikolaj.sorensen@mail.dk;60994421
Freja Dam;frejad;1;freja.dam@mail.dk;29884412
Casper Vestergaard;casperv;1;casper.vestergaard@mail.dk;44551290
